禮服	lai5 fuk6
裙	kwan4
連衣裙	lin4 ji1 kwan4
三點裝	saam1 dim2 zong1
比基尼	bei2 gei1 nei4
泳裝	wing6 zong1
泳衣	wing6 ji1
連體衣	lin4 tai2 ji1
和服	wo4 fuk6
紗麗	saa1 lai6
人字拖	jan4 zi6 to1
拖鞋	to1 haai2
涼鞋	loeng4 haai4
平底鞋	ping4 dai2 haai4
高踭鞋	gou1 zaang1 haai4
高跟鞋	gou1 gan1 haai4
女鞋	neoi5 haai4
高踭涼鞋	gou1 zaang1 loeng4 haai4
高跟涼鞋	gou1 gan1 loeng4 haai4
長筒靴	coeng4 tung2 hoe1
靴	hoe1
男鞋	naam4 haai4
皮鞋	pei4 haai4
球鞋	kau4 haai4
運動鞋	wan6 dung6 haai4
男靴	naam4 hoe1
登山靴	dang1 saan1 hoe1
襪	mat6
襪	maat6
手套	sau2 tou3
圍巾	wai4 gan1
南帽	naam4 mou6
高帽	gou1 mou2
魔術帽	mo1 seot6 mou6
㡌	mou6
太陽㡌	taai3 joeng4 mou6
運動㡌	wan6 dung6 mou6
鴨舌㡌	aap3 sit3 mou6
女帽	neoi5 mou6
禮帽	lai5 mou2
禮帽	lai5 mou6
草㡌	cou2 mou6
學士帽	hok6 si6 mou6
畢業	bat1 jip6
安全帽	on1 cyun4 mou2
安全帽	on1 cyun4 mou6
頭盔	tau4 kwai1
盔	kwai1
皇冠	wong4 gun1
戒指	gaai3 zi2
指環	zi2 waan4
結婚戒指	git3 fan1 gaai3 zi2
鑽戒	zyun3 gaai3
皮包	pei4 baau1
錢包	cin4 baau1
錢夾	cin4 gaap3
手提包	sau2 tai4 baau1
挎包	kwaa3 baau1
公文包	gung1 man4 baau1
電腦包	din6 nou5 baau1
書包	syu1 baau1
背包	bui3 baau1
雙肩包	soeng1 gin1 baau1
行李	hang4 lei5
行李箱	hang4 lei5 soeng1
老花鏡	lou5 faa1 geng3
近視眼鏡	gan6 si6 ngaan5 geng3
太陽鏡	taai3 joeng4 geng3
