鴉	aa1
大肚婆	daai6 tou5 po4
大衛之星	daai6 wai6 zi1 sing1
大正	daai6 zing3
大漲	daai6 zoeng3
大象	daai6 zoeng6
擔憂	daam1 jau1
擔心	daam1 sam1
擔遮	daam1 ze1
膽怯	daam2 hip3
氮氣	daam6 hei3
單板滑雪	daan1 baan2 waat6 syut3
單車	daan1 ce1
單車男	daan1 ce1 naam4
單車女	daan1 ce1 neoi5
單峯駱駝	daan1 fung1 lok3 to4
單峯駝	daan1 fung1 to4
單軌鐵路	daan1 gwai2 tit3 lou6
單人旁	daan1 jan4 pong4
單引號	daan1 jan5 hou6
單企人	daan1 kei5 jan2
單企人	daan1 kei5 jan4
單曲循環	daan1 kuk1 ceon4 waan4
單立人	daan1 lap6 jan4
丹麥	daan1 mak6
單眼	daan1 ngaan5
單片眼鏡	daan1 pin3 ngaan5 geng3
單選	daan1 syun2
蛋	daan2
蛋餅	daan2 beng2
蛋	daan6
蛋餅	daan6 beng2
彈出	daan6 ceot1
蛋糕	daan6 gou1
蛋奶凍	daan6 naai5 dung3
撣指	daan6 zi2
搭電梯	daap3 din6 tai1
搭𨋢	daap3 lip1
搭昇降機	daap3 sing1 gong3 gei1
低電量	dai1 din6 loeng6
低光	dai1 gwong1
低陰入	dai1 jam1 jap6
低亮度	dai1 loeng6 dou6
低落	dai1 lok6
底褲	dai2 fu3
抵力	dai2 lik6
第一	dai6 jat1
第一卷	dai6 jat1 gyun2
第二卷	dai6 ji6 gyun2
第三卷	dai6 saam1 gyun2
第四卷	dai6 sei3 gyun2
得	dak1
德	dak1
得戚	dak1 cik1
德國	dak1 gwok3
得意	dak1 ji3
得意洋洋	dak1 ji3 joeng4 joeng4
德意志	dak1 ji3 zi3
特	dak6
特克斯及凱科斯羣島	dak6 hak1 si1 kap6 hoi2 fo1 si1 kwan4 dou2
抌垃圾	dam2 laap6 saap3
燈	dang1
燈膽	dang1 daam2
燈籠椒	dang1 lung4 ziu1
燈泡	dang1 paau1
登山靴	dang1 saan1 hoe1
燈神	dang1 san4
登字頭	dang1 zi6 tau4
等	dang2
等價	dang2 gaa3
等價於	dang2 gaa3 jyu1
等號	dang2 hou6
等於	dang2 jyu1
等如	dang2 jyu4
等同	dang2 tung4
等同於	dang2 tung4 jyu1
櫈	dang3
櫈仔	dang3 zai2
凸月	dat6 jyut6
突尼斯	dat6 nei5 si1
豆	dau2
豆	dau6
爹地	de1 di4
地菠蘿	dei6 bo1 lo4
地豆	dei6 dau6
地點	dei6 dim2
地瓜	dei6 gwaa1
地球	dei6 kau4
地龍	dei6 lung4
地鼠	dei6 syu2
地鼠頭	dei6 syu2 tau4
地鐵	dei6 tit3
地鐵符號	dei6 tit3 fu4 hou6
地鐵列車	dei6 tit3 lit6 ce1
地圖	dei6 tou4
笛	dek2
笛	dek6
釘	deng1
頂	deng2
堆雪人	deoi1 syut3 jan4
兌	deoi3
對	deoi3
對白	deoi3 baak6
對局	deoi3 guk6
兌卦	deoi3 gwaa3
對抗	deoi3 kong3
對決	deoi3 kyut3
對話	deoi3 waa6
對陣	deoi3 zan6
對戰	deoi3 zin3
滴	dik1
滴汗	dik1 hon6
滴血	dik1 hyut3
的士	dik1 si2
笛	dik6
點	dim2
點火	dim2 fo2
點乘	dim2 sing4
點頭	dim2 tau4
掂	dim6
顛倒	din1 dou2
電	din6
電插頭	din6 caap3 tau2
電車	din6 ce1
電池	din6 ci4
電單車	din6 daan1 ce1
電燈	din6 dang1
電燈膽	din6 dang1 daam2
電燈泡	din6 dang1 paau1
電動單車	din6 dung6 daan1 ce1
電動輪椅	din6 dung6 leon4 ji2
電動輪椅人	din6 dung6 leon4 ji2 jan4
電動輪椅男	din6 dung6 leon4 ji2 naam4
電動輪椅女	din6 dung6 leon4 ji2 neoi5
電動自行車	din6 dung6 zi6 hang4 ce1
電郵	din6 jau4
電影	din6 jing2
電影院	din6 jing2 jyun2
電離輻射	din6 lei4 fuk1 se6
電量	din6 loeng6
電量耗盡	din6 loeng6 hou3 zeon6
電聯	din6 lyun4
電腦	din6 nou5
電腦包	din6 nou5 baau1
電平滑塊	din6 ping4 waat6 faai3
電視	din6 si6
電視機	din6 si6 gei1
電梯	din6 tai1
電筒	din6 tung2
電筒	din6 tung4
電話	din6 waa2
電話機	din6 waa2 gei1
電話	din6 waa6
電話機	din6 waa6 gei1
電子郵件	din6 zi2 jau4 gin2
電子郵件	din6 zi2 jau4 gin6
釘	ding1
叮叮	ding1 ding1
丁烷	ding1 jyun4
頂	ding2
定時	ding6 si4
定時器	ding6 si4 hei3
定位	ding6 wai2
蝶	dip2
蝶	dip6
跌	dit3
雕	diu1
凋零	diu1 ling4
凋落	diu1 lok6
凋謝	diu1 ze6
釣	diu3
釣魚	diu3 jyu2
釣魚	diu3 jyu4
調值一	diu6 zik6 jat1
調值二	diu6 zik6 ji6
調值五	diu6 zik6 ng5
調值三	diu6 zik6 saam1
調值四	diu6 zik6 sei3
多哥	do1 go1
多米尼加	do1 mai5 nei4 gaa1
多米尼加共和國	do1 mai5 nei4 gaa1 gung6 wo4 gwok3
多雲	do1 wan4
多謝	do1 ze6
多謝晒	do1 ze6 saai3
袋	doi2
袋鼠	doi6 syu2
袋鼠國	doi6 syu2 gwok3
當心	dong1 sam1
當心兒童	dong1 sam1 ji4 tung4
檔案夾	dong2 on3 gaap3
檔案櫃	dong2 on3 gwai6
刀	dou1
刀叉	dou1 caa1
刀字邊	dou1 zi6 bin1
刀字旁	dou1 zi6 pong4
島	dou2
倒瀉	dou2 se2
倒水	dou2 seoi2
倒轉	dou2 zyun3
度	dou6
稻	dou6
導彈	dou6 daan2
導彈	dou6 daan6
渡渡鳥	dou6 dou6 niu5
道教	dou6 gaau3
稻穀	dou6 guk1
導演	dou6 jin2
渡輪	dou6 leon4
道路施工	dou6 lou6 si1 gung1
道路維修	dou6 lou6 wai4 sau1
道路維護	dou6 lou6 wai4 wu6
導盲狗	dou6 maang4 gau2
導盲犬	dou6 maang4 hyun2
稻米	dou6 mai5
稻穗	dou6 seoi6
導數	dou6 sou3
