鴉	aa1
數字鍵	sou3 zi6 gin6
數字鍵盤	sou3 zi6 gin6 pun2
數字號	sou3 zi6 hou6
數字輸入	sou3 zi6 syu1 jap6
粟米	suk1 mai5
熟睡	suk6 seoi6
鬆餅	sung1 beng2
聳肩	sung2 gin1
聳肩男	sung2 gin1 naam4
聳肩女	sung2 gin1 neoi5
書	syu1
書包	syu1 baau1
書本	syu1 bun2
書籤	syu1 cim1
書呆子	syu1 daai1 zi2
舒服	syu1 fuk6
輸入法	syu1 jap6 faat3
書呆子	syu1 ngoi4 zi2
書寫	syu1 se2
書籍	syu1 zik6
鼠	syu2
鼠標	syu2 biu1
鼠鼠	syu2 syu2
鼠頭	syu2 tau4
噓	syu4
薯條	syu4 tiu2
薯條	syu4 tiu4
薯仔	syu4 zai2
樹	syu6
豎	syu6
樹袋熊	syu6 doi6 hung4
樹幹	syu6 gon3
樹熊	syu6 hung4
樹葉	syu6 jip6
豎琴	syu6 kam4
樹懶	syu6 laan5
樹苗	syu6 miu4
豎拇指	syu6 mou5 zi2
樹木	syu6 muk6
樹芽	syu6 ngaa4
豎心	syu6 sam1
豎心邊	syu6 sam1 bin1
豎心旁	syu6 sam1 pong4
豎中指	syu6 zung1 zi2
選項	syun2 hong6
選擇	syun2 zaak6
蒜	syun3
算罷啦	syun3 baa2 laa1
算籌八	syun3 cau4 baat3
算籌七	syun3 cau4 cat1
算籌九	syun3 cau4 gau2
算籌一	syun3 cau4 jat1
算籌二	syun3 cau4 ji6
算籌零	syun3 cau4 ling4
算籌六	syun3 cau4 luk6
算籌五	syun3 cau4 ng5
算籌三	syun3 cau4 saam1
算籌四	syun3 cau4 sei3
算啦	syun3 laa1
算盤	syun3 pun4
蒜頭	syun3 tau4
船	syun4
船錨	syun4 maau4
漩渦	syun4 wo1
旋轉木馬	syun4 zyun2 muk6 maa5
雪	syut3
雪豆	syut3 dau2
雪豆	syut3 dau6
雪花	syut3 faa1
雪糕	syut3 gou1
雪糕筒	syut3 gou1 tung2
雪橇	syut3 hiu1
雪人	syut3 jan4
雪嶺	syut3 ling5
雪山	syut3 saan1
呔	taai1
泰	taai3
泰迪	taai3 dik6
泰迪熊	taai3 dik6 hung4
太極	taai3 gik6
泰國	taai3 gwok3
太空人	taai3 hung1 jan4
太陰	taai3 jam1
太陽	taai3 joeng4
太陽鏡	taai3 joeng4 geng3
太陽雨	taai3 joeng4 jyu5
太陽帽	taai3 joeng4 mou6
太子	taai3 zi2
探熱	taam3 jit6
探熱針	taam3 jit6 zam1
探長	taam3 zoeng2
攤手	taan1 sau2
攤手男	taan1 sau2 naam4
攤手女	taan1 sau2 neoi5
坦桑尼亞	taan2 song1 nei4 aa3
嘆氣	taan3 hei3
嘆號	taan3 hou2
嘆號	taan3 hou6
嘆號問號	taan3 hou6 man6 hou2
嘆號問號	taan3 hou6 man6 hou6
嘆號心	taan3 hou6 sam1
嘆問號	taan3 man6 hou2
嘆問號	taan3 man6 hou6
碳酸	taan3 syun1
碳酸鉀	taan3 syun1 gaap3
碳酸氫鈉	taan3 syun1 hing1 naap6
碳酸氫銨	taan3 syun1 hing1 on2
碳酸鈣	taan3 syun1 koi3
碳酸鎂	taan3 syun1 mei5
碳酸鈉	taan3 syun1 naap6
塔吊	taap3 diu3
塔吉克斯坦	taap3 gat1 hak1 si1 taan2
塔可	taap3 ho2
梯	tai1
梯形	tai1 jing4
睇	tai2
體操	tai2 cou1
體操男	tai2 cou1 naam4
體操女	tai2 cou1 neoi5
睇電影	tai2 din6 jing2
睇過	tai2 gwo3
睇下	tai2 haa5
睇戲	tai2 hei3
體育場	tai2 juk6 coeng4
體育館	tai2 juk6 gun2
睇書	tai2 syu1
睇睇	tai2 tai2
體溫計	tai2 wai6 gai3
涕泗	tai3 si3
涕泗滂沱	tai3 si3 pong4 to4
涕泗橫流	tai3 si3 waang4 lau4
剃鬚	tai3 sou1
剃鬚刀	tai3 sou1 dou1
剃鬚刨	tai3 sou1 paau4
提款機	tai4 fun2 gei1
提琴	tai4 kam4
提手	tai4 sau2
提手旁	tai4 sau2 pong4
提子	tai4 zi2
褪前	tan3 cin4
褪後	tan3 hau6
偷窺	tau1 kwai1
偷瞄	tau1 miu4
偷笑	tau1 siu3
偷睇	tau1 tai2
透明	tau3 ming4
骰	tau4
頭頂光環	tau4 deng2 gwong1 waan4
頭都大埋	tau4 dou1 daai6 maai4
頭巾	tau4 gan1
頭巾佬	tau4 gan1 lou2
頭巾男	tau4 gan1 naam4
頭巾女	tau4 gan1 neoi5
頭骨	tau4 gwat1
投降	tau4 hong4
頭盔	tau4 kwai1
投票	tau4 piu3
投票箱	tau4 piu3 soeng1
頭痛	tau4 tung3
頭暈	tau4 wan4
頭暈目眩	tau4 wan4 muk6 jyun6
頭暈眼花	tau4 wan4 ngaan5 faa1
骰仔	tau4 zai2
頭震	tau4 zan3
骰子	tau4 zi2
踢波	tek3 bo1
聽	teng1
聽診器	teng1 can2 hei3
聽筒	teng1 tung2
艇	teng5
推出	teoi1 ceot1
腿	teoi2
退格	teoi3 gaak3
盾	teon5
盾牌	teon5 paai4
剔	tik1
剔號	tik1 hou6
剔手	tik1 sau2
剔手邊	tik1 sau2 bin1
剔手旁	tik1 sau2 pong4
剔選	tik1 syun2
甜品	tim4 ban2
甜瓜	tim4 gwaa1
甜圈	tim4 hyun1
甜薯	tim4 syu4
甜甜圈	tim4 tim4 hyun1
甜筒	tim4 tung2
甜椒	tim4 ziu1
天秤座	tin1 cing3 zo6
天蠍座	tin1 hit3 zo6
天河	tin1 ho4
天漢	tin1 hon3
天虹	tin1 hung4
天蠍座	tin1 kit3 zo6
天鵝	tin1 ngo4
天平	tin1 ping4
天使	tin1 si3
天使寶貝	tin1 si3 bou2 bui3
天使嬰兒	tin1 si3 jing1 ji4
天線	tin1 sin3
天星	tin1 sing1
天竺	tin1 zuk1
田雞	tin4 gai1
田螺	tin4 lo4
聽	ting3
停車	ting4 ce1
停車場	ting4 ce1 coeng4
停止播放	ting4 zi2 bo3 fong3
鐵鏟	tit3 caan2
鐵錘	tit3 ceoi4
鐵道車	tit3 dou6 ce1
鐵鎬	tit3 gou2
鐵軌	tit3 gwai2
鐵鏈	tit3 lin4
鐵路	tit3 lou6
鐵錨	tit3 maau4
鐵鉤	tit3 ngau1
鐵索	tit3 sok3
調羹	tiu1 gang1
跳芭蕾	tiu3 baa1 leoi5
跳芭蕾舞	tiu3 baa1 leoi5 mou5
跳舞	tiu3 mou5
跳傘	tiu3 saan3
調暗	tiu4 am3
條幅星	tiu4 fuk1 sing1
調羹	tiu4 gang1
條形圖	tiu4 jing4 tou4
條脷	tiu4 lei6
調亮	tiu4 loeng6
調皮	tiu4 pei4
調色板	tiu4 sik1 baan2
拖鞋	to1 haai2
拖拉機	to1 laai1 gei1
拖手	to1 sau2
駝	to4
檯球	toi2 kau4
臺	toi4
颱風	toi4 fung1
檯曆	toi4 lik6
檯式電腦	toi4 sik1 din6 nou5
檯式機	toi4 sik1 gei1
臺灣	toi4 waan1
檯鐘	toi4 zung1
托	tok3
托克勞	tok3 hak1 lou4
湯匙	tong1 ci4
湯粉	tong1 fan2
湯加	tong1 gaa1
湯麪	tong1 min6
糖	tong2
糖果	tong4 gwo2
土	tou2
土豆	tou2 dau6
土庫曼斯坦	tou2 fu3 maan6 si1 taan2
土狗	tou2 gau2
土耳其	tou2 ji5 kei4
兔	tou3
兔女郎	tou3 neoi5 long4
吐舌	tou3 sit6
兔頭	tou3 tau4
兔兔	tou3 tou3
套娃	tou3 waa1
兔仔	tou3 zai2
桃	tou4
圖表	tou4 biu2
圖釘	tou4 deng1
圖釘	tou4 ding1
塗黑	tou4 hak1
淘氣	tou4 hei3
逃逸	tou4 jat6
圖瓦盧	tou4 ngaa5 lou4
圖書	tou4 syu1
桃子	tou4 zi2
通宵	tung1 siu1
桶	tung2
統計	tung2 gai3
痛苦	tung3 fu2
痛哭	tung3 huk1
同步	tung4 bou6
同意	tung4 ji3
銅牌	tung4 paai4
糰	tyun4
豚	tyun4
𫙠	tyun4
糰子	tyun4 zi2
斷鏈	tyun5 lin4
脫殼	tyut3 hok3
脫殼而出	tyut3 hok3 ji4 ceot1
脫氧核糖核酸	tyut3 joeng5 hat6 tong4 hat6 syun1
脫離	tyut3 lei4
屋	uk1
屋企	uk1 kei2
中性人聳肩	ung1 sing3 jan4 sung2 gin1
哇	waa1
蛙	waa1
畫	waa2
畫筆	waa2 bat1
畫家	waa2 gaa1
畫框	waa2 kwaang1
華夫	waa4 fu1
華夫餅	waa4 fu1 beng2
華氏	waa4 si6
華氏度	waa4 si6 dou6
畫筆	waa6 bat1
話筒	waa6 tung2
話筒	waa6 tung4
懷孕	waai4 jan6
懷孕男	waai4 jan6 naam4
懷疑	waai4 ji4
懷抱	waai4 pou5
壞蛋	waai6 daan2
壞人	waai6 jan4
畫筆	waak6 bat1
畫畫	waak6 waa2
彎引號	waan1 jan5 hou6
彎月	waan1 jyut6
彎鉤	waan1 ngau1
環保	waan4 bou2
環釦	waan4 kau3
寰球	waan4 kau4
頑皮	waan4 pei4
橫	waang4
滑板	waat6 baan2
滑板車	waat6 baan2 ce1
滑鼠	waat6 syu2
滑雪	waat6 syut3
滑雪板	waat6 syut3 baan2
滑雪屐	waat6 syut3 kek6
滑梯	waat6 tai1
威爾士	wai1 ji5 si6
萎	wai2
虺	wai2
委內瑞拉	wai2 noi6 seoi6 laai1
委屈	wai2 wat1
餵奶	wai3 naai5
餵脌	wai3 nin1
餵𢆡	wai3 nin1
遺傳物質	wai4 cyun4 mat6 zat1
圍巾	wai4 gan1
圍觀	wai4 gun1
惟利是圖	wai4 lei6 si6 tou4
圍字框	wai4 zi6 hong1
蝟	wai6
衛兵	wai6 bing1
爲何	wai6 ho4
衛生間	wai6 sang1 gaan1
衛士	wai6 si6
爲食	wai6 sik6
爲食貓	wai6 sik6 maau1
彗星	wai6 sing1
衛星	wai6 sing1
衛星天線	wai6 sing1 tin1 sin3
衛星通訊	wai6 sing1 tung1 seon3
衛星鑊	wai6 sing1 wok6
位置	wai6 zi3
㬈	wan1
溫泉	wan1 cyun4
溫度計	wan1 dou6 gai3
暈	wan4
雲	wan4
雲彩	wan4 coi2
雲朵	wan4 do2
雲霄飛車	wan4 siu1 fei1 ce1
暈頭轉向	wan4 tau4 zyun3 hoeng3
雲團	wan4 tyun4
運動背心	wan6 dung6 bui3 sam1
運動場	wan6 dung6 coeng4
運動館	wan6 dung6 gun2
運動鞋	wan6 dung6 haai4
運動帽	wan6 dung6 mou6
運動衫	wan6 dung6 saam1
運貨	wan6 fo3
鬱金香	wat1 gam1 hoeng1
鬱悶	wat1 mun6
核突	wat6 dat6
泳	wing6
泳衣	wing6 ji1
泳裝	wing6 zong1
蝸	wo1
蝸牛	wo1 ngau4
和服	wo4 fuk6
和平	wo4 ping4
和平標誌	wo4 ping4 biu1 zi3
和平鴿	wo4 ping4 gaap3
和平手勢	wo4 ping4 sau2 sai3
鑊形天線	wok6 jing4 tin1 sin3
黃	wong4
王儲	wong4 cyu5
皇儲	wong4 cyu5
黃花	wong4 faa1
黃昏	wong4 fan1
王妃	wong4 fei1
黃蜂	wong4 fung1
皇冠	wong4 gun1
王冠人	wong4 gun1 jan4
黃瓜	wong4 gwaa1
黃䘆	wong4 hin2
黃䘆	wong4 hyun2
黃油	wong4 jau4
王女	wong4 neoi5
黃豹	wong4 paau3
黃心	wong4 sam1
黃絲	wong4 si1
黃絲帶	wong4 si1 daai3
黃色	wong4 sik1
黃色愛心	wong4 sik1 oi3 sam1
王子	wong4 zi2
皇子	wong4 zi2
烏	wu1
鰞	wu1
烏鴉	wu1 aa1
烏賊	wu1 caak6
鰞鱡	wu1 caak6
烏干達	wu1 gon1 daat6
烏龜	wu1 gwai1
烏克蘭	wu1 hak1 laan4
烏蠅	wu1 jing1
烏拉圭	wu1 laai1 gwai1
烏茲別克斯坦	wu1 zi1 bit6 hak1 si1 taan2
污漬	wu1 zik1
狐	wu4
蝴蝶	wu4 dip2
蝴蝶結	wu4 dip2 git3
蝴蝶	wu4 dip6
蝴蝶餅	wu4 dip6 beng2
蝴蝶脆餅	wu4 dip6 ceoi3 beng2
蝴蝶結	wu4 dip6 git3
狐狸	wu4 lei2
狐狸頭	wu4 lei2 tau4
狐狸	wu4 lei4
狐狸頭	wu4 lei4 tau4
胡蘿蔔	wu4 lo4 baak6
鬍鬚	wu4 sou1
鬍鬚佬	wu4 sou1 lou2
鬍鬚男	wu4 sou1 naam4
鬍鬚女	wu4 sou1 neoi5
猢猻	wu4 syun1
戶	wu6
互等	wu6 dang2
護目鏡	wu6 muk6 geng3
護士	wu6 si6
護士服	wu6 si6 fuk6
護士袍	wu6 si6 pou4
護照控制	wu6 ziu3 hung3 zai3
回車	wui4 ce1
回車鍵	wui4 ce1 gin6
回形針	wui4 jing4 zam1
回紋針	wui4 man4 zam1
回收	wui4 sau1
回旋鏢	wui4 syun4 biu1
匯率	wui6 leot2
碗	wun2
豌	wun2
豌豆	wun2 dau2
豌豆莢	wun2 dau2 gaap3
豌豆	wun2 dau6
豌豆莢	wun2 dau6 gaap3
碗飯	wun2 faan6
碗粉	wun2 fan2
浣熊	wun2 hung4
碗麪	wun2 min6
碗勺	wun2 soek3
浣熊	wun5 hung4
換檔	wun6 dong3
換行	wun6 hong4
換行符	wun6 hong4 fu4
換行鍵	wun6 hong4 gin6
活火山	wut6 fo2 saan1
炸	zaa3
炸彈	zaa3 daan2
乍得	zaa3 dak1
炸角	zaa3 gok3
炸蝦	zaa3 haa1
炸薯條	zaa3 syu4 tiu2
炸薯條	zaa3 syu4 tiu4
澤西島	zaak6 sai1 dou2
䁪單眼	zaam2 daan1 ngaan5
眨單眼	zaam2 daan1 ngaan5
站立男	zaam6 laap6 naam4
站立	zaam6 lap6
站立女	zaam6 lap6 neoi5
暫停播放	zaam6 ting4 bo3 fong3
讚	zaan3
贊比亞	zaan3 bei2 aa3
贊同	zaan3 tung4
眨單眼	zaap3 daan1 ngaan5
雜技	zaap6 gei6
雜技男	zaap6 gei6 naam4
雜技女	zaap6 gei6 neoi5
嘲諷	zaau1 fung3
爪字頭	zaau2 zi6 tau4
製表	zai3 biu2
製表符	zai3 biu2 fu4
製表鍵	zai3 biu2 gin6
側手翻	zak1 sau2 faan1
側手翻男	zak1 sau2 faan1 naam4
側手翻女	zak1 sau2 faan1 neoi5
針	zam1
斟杯水	zam1 bui1 seoi2
斟水	zam1 seoi2
針線	zam1 sin3
針筒	zam1 tung2
浸浴	zam3 juk6
浸浴缸	zam3 juk6 gong1
珍珠奶茶	zan1 zyu1 naai5 caa4
震	zan3
振動	zan3 dung6
震機	zan3 gei1
震卦	zan3 gwaa3
陣風	zan6 fung1
箏	zang1
猙獰	zang1 ning4
執筆	zap1 bat1
執導	zap1 dou6
帚	zau2
肘	zau2
酒	zau2
酒杯	zau2 bui1
酒店	zau2 dim3
肘擊	zau2 gik1
走之底	zau2 zi1 dai2
酒精	zau2 zing1
皺眉	zau3 mei4
皺眉男	zau3 mei4 naam4
皺眉女	zau3 mei4 neoi5
遮	ze1
遮雨	ze1 jyu5
姐妹	ze2 mui6
織蟀	zek1 seot1
井	zeng2
井鍵	zeng2 gin6
井號	zeng2 hou6
井號鍵	zeng2 hou6 gin6
正	zeng3
嘴角上揚	zeoi2 gok3 soeng6 joeng4
嘴脣	zeoi2 seon4
沮喪	zeoi2 song3
序號	zeoi6 hou6
敘利亞	zeoi6 lei6 aa3
樽	zeon1
津巴布韋	zeon1 baa1 bou3 wai4
准許	zeon2 heoi2
進入	zeon3 jap6
卒	zeot1
資	zi1
支菸	zi1 jin1
資料夾	zi1 liu2 gaap3
齜牙	zi1 ngaa4
資訊	zi1 seon3
芝士	zi1 si2
芝士火鍋	zi1 si2 fo2 wo1
芝士	zi1 si6
蜘蛛	zi1 zyu1
蜘蛛網	zi1 zyu1 mong5
指	zi2
紙	zi2
紫	zi2
紙幣	zi2 bai6
紙杯蛋糕	zi2 bui1 daan6 gou1
指出	zi2 ceot1
子彈列車	zi2 daan2 lit6 ce1
子彈頭列車	zi2 daan2 tau4 lit6 ce1
指定席	zi2 ding6 zik6
紫荊花旗	zi2 ging1 faa1 kei4
紫荊旗	zi2 ging1 kei4
紙卷	zi2 gyun2
指下	zi2 haa6
指向	zi2 hoeng3
止血貼	zi2 hyut3 tip3
指右	zi2 jau6
紙菸	zi2 jin1
紙鷂	zi2 jiu2
紙鷂	zi2 jiu6
指紋	zi2 man4
姊妹	zi2 mui2
姊妹	zi2 mui6
指南針	zi2 naam4 zam1
紙牌	zi2 paai2
紙牌	zi2 paai4
紫心	zi2 sam1
指示	zi2 si6
紫色	zi2 sik1
紫色愛心	zi2 sik1 oi3 sam1
指上	zi2 soeng6
指數	zi2 sou3
指環	zi2 waan4
指左	zi2 zo2
紙張	zi2 zoeng1
置頂	zi3 deng2
置頂	zi3 ding2
致敬	zi3 ging3
智利	zi3 lei6
致命	zi3 ming6
致死	zi3 sei2
彘	zi6
自動取款機	zi6 dung6 ceoi2 fun2 gei1
自動提款機	zi6 dung6 tai4 fun2 gei1
自行車	zi6 hang4 ce1
自由女神	zi6 jau4 neoi5 san4
自由女神像	zi6 jau4 neoi5 san4 zoeng6
自由神像	zi6 jau4 san4 zoeng6
自然數	zi6 jin4 sou3
自鳴得意	zi6 ming4 dak1 ji3
字母	zi6 mou5
字母輸入	zi6 mou5 syu1 jap6
自拍	zi6 paak3
積分	zik1 fan1
積分符號	zik1 fan1 fu4 hou6
職員	zik1 jyun4
織蟀	zik1 seot1
即將箭頭	zik1 zoeng1 zin3 tau4
直布羅陀	zik6 bou3 lo4 to4
直尺	zik6 cek3
直方圖	zik6 fong1 tou4
夕陽	zik6 joeng4
直昇機	zik6 sing1 gei1
煎餅	zin1 beng2
煎蛋	zin1 daan2
煎蛋	zin1 daan6
煎餃	zin1 gaau2
煎雞膥	zin1 gai1 ceon1
煎雞蛋	zin1 gai1 daan2
煎雞蛋	zin1 gai1 daan6
剪	zin2
剪切板	zin2 cit3 baan2
剪刀	zin2 dou1
剪髮	zin2 faat3
剪頭髮	zin2 tau4 faat3
剪貼板	zin2 tip3 baan2
剪貼簿	zin2 tip3 bou2
濺	zin3
濺潑	zin3 put3
箭術	zin3 seot6
箭頭	zin3 tau4
箭嘴	zin3 zeoi2
睛	zing1
蒸氣火車	zing1 hei3 fo2 ce1
蒸餾器	zing1 lau6 hei3
精靈	zing1 ling4
精靈男	zing1 ling4 naam4
精靈女	zing1 ling4 neoi5
蒸桑拿	zing1 song1 naa4
偵探	zing1 taam3
井	zing2
整蠱	zing2 gu2
整蠱作怪	zing2 gu2 zok3 gwaai3
整數	zing2 sou3
正	zing3
正比於	zing3 bei2 jyu1
正方	zing3 fong1
正方形	zing3 fong1 jing4
正負	zing3 fu6
正負號	zing3 fu6 hou6
正教會	zing3 gaau3 wui2
正教會十字	zing3 gaau3 wui2 sap6 zi6
證人	zing3 jan4
正確	zing3 kok3
正統十字架	zing3 tung2 sap6 zi6 gaa3
正正係	zing3 zing3 hai6
正中	zing3 zung3
正中紅心	zing3 zung3 hung4 sam1
靜音	zing6 jam1
靜坐	zing6 zo6
靜坐男	zing6 zo6 naam4
靜坐女	zing6 zo6 neoi5
摺扇	zip3 sin3
折	zit3
節字邊	zit3 zi6 bin1
節字旁	zit3 zi6 pong4
節節高	zit3 zit3 gou1
捷克	zit6 hak1
捷豹	zit6 paau3
朝	ziu1
椒	ziu1
蕉	ziu1
招呼	ziu1 fu1
椒鹽捲餅	ziu1 jim4 gyun2 beng2
朝陽	ziu1 joeng4
焦慮	ziu1 leoi6
招手	ziu1 sau2
朝鮮	ziu1 sin1
照相機	ziu3 soeng2 gei1
照相機	ziu3 soeng3 gei1
左	zo2
左包右	zo2 baau1 jau6
左包右結構	zo2 baau1 jau6 git3 gau3
左包右結構	zo2 baau1 jau6 git3 kau3
左邊	zo2 bin1
左邊	zo2 bin6
左單引號	zo2 daan1 jan5 hou6
左下	zo2 haa6
左下包右上	zo2 haa6 baau1 jau6 soeng6
左下包右上結構	zo2 haa6 baau1 jau6 soeng6 git3 gau3
左下包右上結構	zo2 haa6 baau1 jau6 soeng6 git3 kau3
左下環繞	zo2 haa6 waan4 jiu2
左下箭頭	zo2 haa6 zin3 tau4
左引號	zo2 jan5 hou6
左右	zo2 jau6
左右顛倒	zo2 jau6 din1 dou2
左右顛倒結構	zo2 jau6 din1 dou2 git3 gau3
左右顛倒結構	zo2 jau6 din1 dou2 git3 kau3
左右結構	zo2 jau6 git3 gau3
左右結構	zo2 jau6 git3 kau3
左右箭頭	zo2 jau6 zin3 tau4
左耳邊	zo2 ji5 bin1
左耳旁	zo2 ji5 pong4
左拳	zo2 kyun4
左面	zo2 min6
左雙引號	zo2 soeng1 jan5 hou6
左上	zo2 soeng6
左上包右下	zo2 soeng6 baau1 jau6 haa6
左上包右下結構	zo2 soeng6 baau1 jau6 haa6 git3 gau3
左上包右下結構	zo2 soeng6 baau1 jau6 haa6 git3 kau3
左上環繞	zo2 soeng6 waan4 jiu2
左上箭頭	zo2 soeng6 zin3 tau4
左指	zo2 zi2
左箭頭	zo2 zin3 tau4
左中右	zo2 zung1 jau6
左中右結構	zo2 zung1 jau6 git3 gau3
左中右結構	zo2 zung1 jau6 git3 kau3
詛咒	zo3 zau3
座標	zo6 biu1
坐騎	zo6 gei6
座椅	zo6 ji2
助聽器	zo6 teng1 hei3
助聽器	zo6 ting3 hei3
座位	zo6 wai2
座位	zo6 wai6
雀	zoek3
雀竇	zoek3 dau3
桌球	zoek3 kau4
雀仔	zoek3 zai2
雀仔膥	zoek3 zai2 ceon1
雀仔蛋	zoek3 zai2 daan6
雀仔竇	zoek3 zai2 dau3
雀仔頭	zoek3 zai2 tau4
着火	zoek6 fo2
着陸	zoek6 luk6
着數	zoek6 sou3
蟑	zoeng1
張口	zoeng1 hau2
章魚	zoeng1 jyu4
蟑螂	zoeng1 long4
張嘴	zoeng1 zeoi2
獎盃	zoeng2 bui1
獎牌	zoeng2 paai4
掌聲	zoeng2 sing1
長者	zoeng2 ze2
將	zoeng3
漲	zoeng3
賬簿	zoeng3 bou2
賬簿	zoeng3 bou6
賬本	zoeng3 bun2
賬冊	zoeng3 caak3
帳號	zoeng3 hou6
帳篷	zoeng3 pung4
帳戶	zoeng3 wu6
象	zoeng6
象牙海岸	zoeng6 ngaa4 hoi2 ngon6
再見	zoi3 gin3
在建	zoi6 gin3
作證	zok3 zing3
𥅾	zong1
𥅾下	zong1 haa5
𥅾人	zong1 jan4
𥅾𥅾	zong1 zong1
做泥水	zou6 nai4 seoi2
做題蛆	zou6 tai4 ceoi1
做題家	zou6 tai4 gaa1
燭	zuk1
祝	zuk1
竹	zuk1
足	zuk1
足部	zuk1 bou6
竹花頭	zuk1 faa1 tau4
祝福	zuk1 fuk1
祝賀	zuk1 ho6
足印	zuk1 jan3
足球	zuk1 kau4
竹籃	zuk1 laam4
足字邊	zuk1 zi6 bin1
足字旁	zuk1 zi6 pong4
竹字頭	zuk1 zi6 tau4
足跡	zuk1 zik1
竹節	zuk1 zit3
中	zung1
宗	zung1
棕	zung1
鐘	zung1
中秋	zung1 cau1
中秋節	zung1 cau1 zit3
中等音量	zung1 dang2 jam1 loeng6
中點	zung1 dim2
中點號	zung1 dim2 hou6
終點旗	zung1 dim2 kei4
中非	zung1 fei1
中非共和國	zung1 fei1 gung6 wo4 gwok3
中國	zung1 gwok3
中國大陸	zung1 gwok3 daai6 luk6
中入	zung1 jap6
鍾意	zung1 ji3
棕櫚	zung1 leoi4
棕櫚樹	zung1 leoi4 syu6
鐘鈴	zung1 ling4
棕色	zung1 sik1
中性白髮人	zung1 sing3 baak6 faat3 jan4
中性廚師	zung1 sing3 ceoi4 si1
中性超級英雄	zung1 sing3 ciu1 kap1 jing1 hung4
中性廚師	zung1 sing3 cyu4 si1
中性燈神	zung1 sing3 dang1 san4
中性反派	zung1 sing3 faan2 paai3
中性法官	zung1 sing3 faat3 gun1
中性婚紗人	zung1 sing3 fan1 saa1 jan4
中性飛行員	zung1 sing3 fei1 hang4 jyun4
中性科學家	zung1 sing3 fo1 hok6 gaa1
中性服務員	zung1 sing3 fuk6 mou6 jyun4
中性教師	zung1 sing3 gaau3 si1
中性金髮人	zung1 sing3 gam1 faat3 jan4
中性技工	zung1 sing3 gei6 gung1
中性建築工人	zung1 sing3 gin3 zuk1 gung1 jan4
中性警察	zung1 sing3 ging2 caat3
中性歌手	zung1 sing3 go1 sau2
中性殭屍	zung1 sing3 goeng1 si1
中性工程師	zung1 sing3 gung1 cing4 si1
中性工人	zung1 sing3 gung1 jan4
中性光頭人	zung1 sing3 gwong1 tau4 jan4
中性捲髮人	zung1 sing3 gyun2 faat3 jan4
中性行人	zung1 sing3 hang4 jan4
中性學生	zung1 sing3 hok6 saang1
中性紅髮人	zung1 sing3 hung4 faat3 jan4
中性人揞面	zung1 sing3 jan4 am2 min6
中性人賽艇	zung1 sing3 jan4 coi3 teng5
中性人衝浪	zung1 sing3 jan4 cung1 long6
中性人單車	zung1 sing3 jan4 daan1 ce1
中性人否定	zung1 sing3 jan4 fau2 ding6
中性人舉重	zung1 sing3 jan4 geoi2 cung5
中性人舉手	zung1 sing3 jan4 geoi2 sau2
中性人高爾夫	zung1 sing3 jan4 gou1 ji5 fu1
中性人鞠躬	zung1 sing3 jan4 guk1 gung1
中性人焗桑拿	zung1 sing3 jan4 guk6 song1 naa4
中性人跪地	zung1 sing3 jan4 gwai6 dei6
中性人游泳	zung1 sing3 jan4 jau4 wing6
中性人魚	zung1 sing3 jan4 jyu4
中性人撅嘴	zung1 sing3 jan4 kyut3 zeoi2
中性人籃球	zung1 sing3 jan4 laam4 kau4
中性人理髮	zung1 sing3 jan4 lei5 faat3
中性人按摩	zung1 sing3 jan4 on3 mo1
中性人攀巖	zung1 sing3 jan4 paan1 ngaam4
中性人跑步	zung1 sing3 jan4 paau2 bou6
中性人山地單車	zung1 sing3 jan4 saan1 dei6 daan1 ce1
中性人失聰	zung1 sing3 jan4 sat1 cung1
中性人手球	zung1 sing3 jan4 sau2 kau4
中性人守衛	zung1 sing3 jan4 sau2 wai6
中性人水球	zung1 sing3 jan4 seoi2 kau4
中性人摔角	zung1 sing3 jan4 seot1 gok3
中性人同意	zung1 sing3 jan4 tung4 ji3
中性人餵奶	zung1 sing3 jan4 wai3 naai5
中性人站立	zung1 sing3 jan4 zaam6 lap6
中性人雜技	zung1 sing3 jan4 zaap6 gei6
中性人側手翻	zung1 sing3 jan4 zak1 sau2 faan1
中性人皺眉	zung1 sing3 jan4 zau3 mei4
中性人靜坐	zung1 sing3 jan4 zing6 zo6
中性醫護人員	zung1 sing3 ji1 wu6 jan4 jyun4
中性兒童	zung1 sing3 ji4 tung4
中性燕尾服人	zung1 sing3 jin3 mei5 fuk6 jan4
中性宇航員	zung1 sing3 jyu5 hong4 jyun4
中性吸血鬼	zung1 sing3 kap1 hyut3 gwai2
中性老年人	zung1 sing3 lou5 nin4 jan4
中性盲人	zung1 sing3 maang4 jan4
中性魔法師	zung1 sing3 mo1 faat3 si1
中性藝術家	zung1 sing3 ngai6 seot6 gaa1
中性農民	zung1 sing3 nung4 man4
中性仙人	zung1 sing3 sin1 jan4
中性聖誕老人	zung1 sing3 sing3 daan3 lou5 jan4
中性成年人	zung1 sing3 sing4 nin4 jan4
中性消防員	zung1 sing3 siu1 fong4 jyun4
中性頭巾人	zung1 sing3 tau4 gan1 jan4
中性鬍鬚人	zung1 sing3 wu4 sou1 jan4
中性職員	zung1 sing3 zik1 jyun4
中性精靈	zung1 sing3 zing1 ling4
中性偵探	zung1 sing3 zing1 taam3
忠誠	zung1 sing4
